uniqueID,area_km2,NDVI2012_MEAN,NDVI2012_STD,NDVI2012_RANGE,SL_60_MEAN,SL_60_STD,SL_60_RANGE,SP_1000_MEAN,SP_240_MEAN,Alpine_Non-Carbonate_Barrens,Alpine_Non-Carbonate_Dryas_Dwarf_Shrub,Lowland_Low_Birch-Willow_Shrub,Lowland_Water,Lowland_Wet_Sedge_Tundra,Upland_Birch-Aspen-Spruce_Forest,Upland_Dryas_Dwarf_Shrub_Tundra,Upland_Low_Birch-Willow_Shrub_Tundra,Upland_Moist_Sedge_Shrub,Upland_Shrubby_Tussock_Tundra,Cloud_Ice_Snow,Riverine_Water_Shrub_Wet_Sedge_Barrens
KUP4.1,27.391875,4325.87615,1011.906861,6943,10.70877935,8.368669087,44.66094609,150.3615616,0.298216079,0.832538089,15.19299747,0.111882589,6.518806147,4.76488203,0,0,11.68514923,26.85511205,26.25950179,7.779130606,0
OKS17,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
OKS17,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
OKS17,26.48895,4898.336141,1380.567753,9465,2.742715655,2.140712551,15.30698395,54.21523277,-0.035324689,0,0.108754758,0.203915171,7.779363785,4.275421425,0,0,11.77270256,20.54445351,55.3153888,0,0
KUP5.1,26.3329,5144.9973,1245.133149,14394,10.01965366,6.722614,45.48372269,78.41920492,0.043018481,0.133483931,14.69692302,0.722182291,1.783208406,1.475168566,0,0,35.71208543,13.97474073,27.64144163,3.860765992,0
OKS24,25.590875,4895.294544,1399.318287,9465,2.790361139,2.161201037,15.30698395,55.25384516,-0.037449285,0,0.112521537,0.210977882,7.985512852,4.212525054,0,0,11.78311474,20.26794191,55.42740603,0,0
OKS24,25.590875,4895.294544,1399.318287,9465,2.790361139,2.161201037,15.30698395,55.25384516,-0.037449285,0,0.112521537,0.210977882,7.985512852,4.212525054,0,0,11.78311474,20.26794191,55.42740603,0,0
OKS24,25.590875,4895.294544,1399.318287,9465,2.790361139,2.161201037,15.30698395,55.25384516,-0.037449285,0,0.112521537,0.210977882,7.985512852,4.212525054,0,0,11.78311474,20.26794191,55.42740603,0,0
KUP5.2,24.006775,5080.005473,1270.915375,14394,10.4645814,6.810467834,45.48372269,78.88196937,0.075729507,0.146390901,16.11801359,0.761983409,1.790473331,1.505198754,0,0,34.1691378,14.68788709,26.58683983,4.234075297,0
OKS27,23.089225,4847.651791,1453.829479,9465,2.782774091,2.121131637,15.30698395,56.26838796,-0.056084598,0,0.124654279,0.171399634,8.753067664,4.164232013,0,0,11.78762027,18.80721437,56.19181177,0,0
