"","x"
"1","Acetate"
"var","rel.inf"
"var","rel.inf"
"Season","Season",68.6075970744706
"area_km2","area_km2",4.90506874031031
"SL_60_MEAN","SL_60_MEAN",4.26119773439073
"Lowland_Water","Lowland_Water",4.12210012645157
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",4.01546621308433
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",3.42471036916764
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",2.47265827578156
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",1.85353353404155
"NDVI2012_MEAN","NDVI2012_MEAN",1.56774868475599
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",1.4162513234334
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",1.4006660556284
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",0.983565635960362
"SP_1000_MEAN","SP_1000_MEAN",0.727250172544731
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0.242186059978829
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","K"
"var","rel.inf"
"Season","Season",66.1336722741723
"area_km2","area_km2",6.53364450162567
"SL_60_MEAN","SL_60_MEAN",4.27064130243288
"Lowland_Water","Lowland_Water",3.67343984427894
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",3.52932108335526
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",2.90733331592657
"NDVI2012_MEAN","NDVI2012_MEAN",2.49997819626806
"SP_1000_MEAN","SP_1000_MEAN",2.29247990255581
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",2.28719342778149
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",1.94494738433157
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",1.50779799848014
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",1.28031747793482
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",1.13923329085652
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Li"
"var","rel.inf"
"Season","Season",22.7764624885345
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",13.8978395590321
"SL_60_MEAN","SL_60_MEAN",8.66566604117617
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",8.66040083705949
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",8.3404005060448
